id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
191753754,2023/10/24 10:15,2023-10-24,2023-10-24 13:15:00 UTC,Brasilia,2046328,heloisakoffke,Heloisa Koffke,2023-11-22 12:11:42 UTC,2023-12-30 20:00:58 UTC,research,,https://www.inaturalist.org/observations/191753754,https://static.inaturalist.org/photos/336471598/medium.jpeg,,,,3,0,false,,"São Paulo, BR",-23.2364201199,-46.2697509668,590,,,,30196,,obscured,true,,,Lontra-neotropical,Lontra longicaudis,Nutria de río,Mammalia,41778
191777709,2023-11-21 05:45:09,2023-11-21,2023-11-21 11:45:09 UTC,America/Costa_Rica,5472344,mckenzie73,Mckenzie Wing,2023-11-22 18:33:10 UTC,2024-01-02 14:33:07 UTC,research,,https://www.inaturalist.org/observations/191777709,https://static.inaturalist.org/photos/336519578/medium.jpeg,,,,1,0,false,2,"Puntarenas, CR",8.6686545916,-83.6173895393,187,,,,31271,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
191844087,2023/11/23 10:38,2023-11-23,2023-11-23 13:38:00 UTC,Brasilia,5331887,izanildo,,2023-11-23 13:39:18 UTC,2024-08-04 21:21:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/191844087,https://inaturalist-open-data.s3.amazonaws.com/photos/336653001/medium.png,,,Casal,4,0,false,,"Espírito Santo, BR",-20.2125748353,-40.2763224873,,,,,30490,,obscured,true,,,Lontra-Neotropical,Lontra longicaudis,Nutria de río,Mammalia,41778
191953985,2023-11-24,2023-11-24,,Mexico City,7601111,jesus_aguilar22,Jesús Aguilar,2023-11-24 15:39:47 UTC,2023-12-26 19:46:55 UTC,research,,https://www.inaturalist.org/observations/191953985,https://static.inaturalist.org/photos/336869747/medium.jpeg,,,,4,0,false,2,Laguna Pampa El cabildo,14.7493056279,-92.4423135817,208,,,,208,,open,false,gps,gps,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
192215405,2023/11/26 11:19 AM,2023-11-26,2023-11-26 14:19:00 UTC,Brasilia,1992254,agujaceratops,,2023-11-26 16:12:32 UTC,2023-12-30 19:51:19 UTC,research,CC0,https://www.inaturalist.org/observations/192215405,https://inaturalist-open-data.s3.amazonaws.com/photos/337382249/medium.jpeg,,,,3,0,false,,"Minas Gerais, BR",-19.9938496679,-43.8250255675,,,,,30527,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
192271763,2023/11/26 8:16 AM,2023-11-26,2023-11-26 14:16:00 UTC,Mexico City,1085106,mexfantmaravilloso,Mexfant Maravilloso,2023-11-27 00:32:25 UTC,2024-03-19 15:26:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/192271763,https://inaturalist-open-data.s3.amazonaws.com/photos/337493840/medium.jpeg,,,,5,0,false,,"La Vega, Jalisco",20.6430355,-103.8506109,5652,,,,5652,,open,false,,,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
192659993,2023-11-30 09:08:24,2023-11-30,2023-11-30 15:08:24 UTC,America/Costa_Rica,4684864,sag_ich_nicht,Sag Ich Nicht,2023-11-30 19:24:16 UTC,2023-12-01 06:29:46 UTC,research,CC0,https://www.inaturalist.org/observations/192659993,https://inaturalist-open-data.s3.amazonaws.com/photos/338262561/medium.jpeg,,,,2,0,false,2,Costa Rica,10.4225485461,-84.1583181778,,,,,31189,,obscured,true,gps,gps,Südamerikanischer Fischotter,Lontra longicaudis,Nutria de río,Mammalia,41778
192762934,2023-11-28 06:11:00-06:00,2023-11-28,2023-11-28 12:11:00 UTC,America/Costa_Rica,1491259,travellingandres,Travelling Andrés,2023-12-01 22:59:36 UTC,2023-12-04 19:23:26 UTC,research,,https://www.inaturalist.org/observations/192762934,https://static.inaturalist.org/photos/338467219/medium.jpg,,,,1,0,false,3,"Limón, CR",10.5241239593,-83.4946912691,1,,,,31189,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
193220052,2023-12-06 10:27:29-06:00,2023-12-06,2023-12-06 16:27:29 UTC,America/Costa_Rica,4092118,lissinha,,2023-12-06 16:28:03 UTC,2023-12-07 08:11:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/193220052,https://inaturalist-open-data.s3.amazonaws.com/photos/339393894/medium.jpg,,,Lámina,1,0,false,3,Costa Rica,9.8441628655,-83.4813859899,305,,,,31218,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
193334200,2023/11/22 5:37 AM,2023-11-22,2023-11-22 08:37:00 UTC,Montevideo,1467469,santiagomailhos,Santiago Mailhos,2023-12-07 22:08:15 UTC,2023-12-07 22:08:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/193334200,https://inaturalist-open-data.s3.amazonaws.com/photos/339612803/medium.jpeg,,,,0,0,false,,Uruguay,-32.5501663179,-58.0558518203,8,,,,29093,,obscured,true,,,Nutria de Río,Lontra longicaudis,Nutria de río,Mammalia,41778
193541590,2023-12-05 16:35:11-04:00,2023-12-05,2023-12-05 20:35:11 UTC,La Paz,6784933,luis_guizada,Luis Alfredo Guizada Duran,2023-12-09 23:20:32 UTC,2024-06-18 22:05:14 UTC,research,,https://www.inaturalist.org/observations/193541590,https://static.inaturalist.org/photos/341189581/medium.jpg,,,,1,0,false,3,"El Beni, BO",-14.5587835701,-64.8063995638,18000,,,,30954,,obscured,true,,,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
193952437,2023-12-09 09:59:13,2023-12-09,2023-12-09 14:59:13 UTC,America/Guayaquil,1052782,amazoonico,amaZOOnico,2023-12-14 15:36:53 UTC,2023-12-14 15:36:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/193952437,https://inaturalist-open-data.s3.amazonaws.com/photos/340798304/medium.jpeg,,,Rubén.    huellas de nutria ,0,0,false,2,Ecuador,-1.1005153142,-77.5311649604,9,,,,31448,,obscured,true,,,Lontra  longicaudis,Lontra longicaudis,Nutria de río,Mammalia,41778
